CSA BrainRegion Diet
20.06 MSN Deficient
19.805 MSN Deficient
15.47 MSN Deficient
19.21 MSN Deficient
24.905 MSN Deficient
18.87 MSN Deficient
20.825 MSN Deficient
22.355 MSN Deficient
17.51 MSN Deficient
20.315 MSN Deficient
22.525 MSN Control
20.995 MSN Control
24.055 MSN Control
18.955 MSN Control
18.53 MSN Control
25.5 MSN Control
18.275 MSN Control
17.085 MSN Control
20.655 MSN Control
23.12 MSN Control
24.31 DB Deficient
14.62 DB Deficient
17.34 DB Deficient
18.615 DB Deficient
22.355 DB Deficient
23.63 DB Deficient
15.98 DB Deficient
23.885 DB Deficient
24.735 DB Deficient
26.775 DB Deficient
29.92 DB Control
27.2 DB Control
22.1 DB Control
27.625 DB Control
32.13 DB Control
31.62 DB Control
25.585 DB Control
23.29 DB Control
23.97 DB Control
23.205 DB Control
